Postcode,Borought,Latitude,Longitude
M3A,North York(Parkwoods),43.65029500000003,-79.35916572299999
M4A,North York(Victoria Village),43.72327000000007,-79.45128601699997
M5A,Downtown Toronto(Regent Park / Harbourfront),43.66115033500006,-79.39171499999998
M6A,North York(Lawrence Manor / Lawrence Heights),43.66229908300005,-79.52819499999998
M7A,Queen's Park / Ontario Provincial Government,43.811525000000074,-79.19551746399998
M9A,Etobicoke(Islington Avenue),43.707535000000064,-79.31177329699995
M1B,Scarborough(Malvern / Rouge),43.65736301100003,-79.37817999999999
M3B,North York(Don Mills)North,43.65034698100004,-79.55503999999996
M4B,East York(Parkview Hill / Woodbine Gardens),43.78566500000005,-79.15872457299997
M5B,"Downtown Toronto(Garden District, Ryerson)",43.72142500000007,-79.34345422799998
M6B,North York(Glencairn),43.689640000000054,-79.30687387799998
M9B,Etobicoke(West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale),43.648573449000025,-79.57824999999997
M1C,Scarborough(Rouge Hill / Port Union / Highland Creek),43.76581500000003,-79.17519294699997
M3C,North York(Don Mills)South(Flemingdon Park),43.64516015600003,-79.37367499999993
M4C,East York(Woodbine Heights),43.68864000000008,-79.45101761399997
M5C,Downtown Toronto(St. James Town),43.768369121000035,-79.21758999999997
M6C,York(Humewood-Cedarvale),43.70949500000006,-79.36398897099997
M9C,Etobicoke(Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood),43.76968799900004,-79.23943999999995
M1E,Scarborough(Guildwood / Morningside / West Hill),43.80284500000005,-79.35620744999994
M4E,East Toronto(The Beaches),43.64970000000005,-79.38258157399997
M5E,Downtown Toronto(Berczy Park),43.66508694300006,-79.43870499999997
M6E,York(Caledonia-Fairbanks),43.74312500000008,-79.23174973599998
M1G,Scarborough(Woburn),43.630210000000034,-79.36243320899996
M4G,East York(Leaside),43.781015000000025,-79.38052867199997
M5G,Downtown Toronto(Central Bay Street),43.73868500000003,-79.46731999999997
M6G,Downtown Toronto(Christie),43.68317787500007,-79.35510499999998
M1H,Scarborough(Cedarbrae),43.75709511900004,-79.38031999999998
M2H,North York(Hillcrest Village),43.720140111000035,-79.51697999999999
M3H,North York(Bathurst Manor / Wilson Heights / Downsview North),43.66796500000004,-79.31466717299998
M4H,East York(Thorncliffe Park),43.64839500000005,-79.37886491099994
M5H,Downtown Toronto(Richmond / Adelaide / King),43.71381000000008,-79.48830076899998
M6H,West Toronto(Dufferin / Dovercourt Village),43.75950000000006,-79.55702785699998
M1J,Scarborough(Scarborough Village),43.660628993000046,-79.33485499999995
M2J,North York(Fairview / Henry Farm / Oriole),43.735460000000046,-79.41914787599995
M3J,North York(Northwood Park / York University),43.69453000000004,-79.48448943099999
M4J,East YorkEast Toronto(The Danforth  East),43.73370500000004,-79.53750768599997
M5J,Downtown Toronto(Harbourfront East / Union Station / Toronto Islands),43.69677000000007,-79.25996735299998
M6J,West Toronto(Little Portugal / Trinity),43.76816500000007,-79.40741984599998
M1K,Scarborough(Kennedy Park / Ionview / East Birchmount Park),43.67612500000007,-79.48193234099995
M2K,North York(Bayview Village),43.704845000000034,-79.51754601599998
M3K,North York(Downsview)East  (CFB Toronto),43.759975000000054,-79.26897418299995
M4K,East Toronto(The Danforth West / Riverdale),43.74789500000003,-79.39991893899997
M5K,Downtown Toronto(Toronto Dominion Centre / Design Exchange),43.71275500000007,-79.38851449699996
M6K,West Toronto(Brockton / Parkdale Village / Exhibition Place),43.69478500000008,-79.41440483299994
M1L,Scarborough(Golden Mile / Clairlea / Oakridge),43.77769500000005,-79.44579657299994
M2L,North York(York Mills / Silver Hills),43.71452278400005,-79.40695999999997
M3L,North York(Downsview)West,43.674840000000074,-79.40376823999998
M4L,East Toronto(India Bazaar / The Beaches West),43.64787000000007,-79.44977619099996
M5L,Downtown Toronto(Commerce Court / Victoria Hotel),43.648690000000045,-79.38543999999996
M6L,North York(North Park / Maple Leaf Park / Upwood Park),43.68681000000004,-79.55728354099995
M9L,North York(Humber Summit),43.663110000000074,-79.40180056699995
M1M,Scarborough(Cliffside / Cliffcrest / Scarborough Village West),43.64962000000003,-79.47614085899994
M2M,North York(Willowdale / Newtonbrook),43.78472500000004,-79.29906603299997
M3M,North York(Downsview)Central,43.69068500000003,-79.38294574299994
M4M,East Toronto(Studio District),43.653530000000046,-79.39723268299997
M5M,North York(Bedford Park / Lawrence Manor East),43.81768500000004,-79.28018721399997
M6M,York(Del Ray / Mount Dennis / Keelsdale and Silverthorn),43.68607377100005,-79.40226499999994
M9M,North York(Humberlea / Emery),43.74314500000003,-79.58466389699998
M1N,Scarborough(Birch Cliff / Cliffside West),43.80088292800008,-79.32073999999994
M2N,North York(Willowdale)South,43.68220500000007,-79.37794519699997
M3N,North York(Downsview)Northwest,43.648690000000045,-79.38543999999996
M4N,Central Toronto(Lawrence Park),43.60113082100003,-79.53878499999996
M5N,Central Toronto(Roselawn),43.71174000000008,-79.57918134599998
M6N,York(Runnymede / The Junction North),43.83421500000003,-79.21670085099998
M9N,York(Weston),43.653760000000034,-79.51089004199997
M1P,Scarborough(Dorset Park / Wexford Heights / Scarborough Town Centre),43.666585000000055,-79.38130203699995
M2P,North York(York Mills West),43.648690000000045,-79.38543999999996
M4P,Central Toronto(Davisville North),43.624630000000025,-79.52694976199996
